processors	tasks assigned
10	43
20	71
30	85
40	103
50	113
60	127
70	135
80	147
90	155
100	164
110	170
120	179
130	185
140	194
150	200
160	209
170	214
180	220
190	224
200	230
210	234
220	240
230	244
240	250
250	254
260	260
270	264
280	270
290	274
300	280
310	284
320	290
330	294
340	300
350	304
360	310
370	314
380	320
390	324
400	329
410	331
420	334
430	336
440	339
450	341
460	344
470	346
480	349
490	351
500	354
510	356
520	359
530	361
540	364
550	366
560	369
570	371
580	374
590	376
600	379
610	381
620	384
630	386
640	389
650	391
660	394
670	396
680	399
690	401
700	404
710	406
720	409
730	411
740	414
750	416
760	419
770	421
780	424
790	426
800	429
810	431
820	434
830	436
840	439
850	441
860	444
870	446
880	449
890	451
900	454
910	456
920	459
930	461
940	464
950	466
960	469
970	471
980	474
990	476
1000	479
